True Label,True Label (Text),Parsed Output
43,rice_nbls,'Class: Rice\nDisease: nbls'
13,corn_common_rust,'\nClass: Corn\nDisease: common_rust'
44,rice_neck_blast,'Class: Rice\nDisease: neck_blast'
40,rice_hispa,'\nClass: Rice\nDisease: hispa'
29,potato_late_blight,'\nClass: Potato\nDisease: early_blight'
47,squash_powdery_mildew,'\nClass: Squash\nDisease: powdery_mildew'
27,peach_bacterial_spot,'\nClass: Peach\nDisease: bacterial_spot'
44,rice_neck_blast,'Class: Rice\nDisease: neck_blast'
61,tomato_mosaic_virus,'\nClass: Tomato\nDisease: mosaic_virus'
38,rice_downy_mildew,'Class: Rice\nDisease: downy_mildew'
23,olive_bird_eye_fungus,'\nClass: Olive\nDisease: bird_eye_fungus'
61,tomato_mosaic_virus,'\nClass: Tomato\nDisease: mosaic_virus'
57,tomato_healthy,'\nClass: Tomato\nDisease: healthy'
0,apple_black_rot,'\nClass: Apple\nDisease: black_rot'
49,strawberry_blossom_blight,'\nClass: Strawberry\nDisease: blossom_blight'
5,apple_rust,'Class: Apple\nDisease: rust'
46,soybean_healthy,'Class: Tomato\nDisease: healthy'
7,bell pepper_bacterial_spot,'\nClass: Bell Pepper\nDisease: bacterial_spot'
50,strawberry_gray_mold,'\nClass: Strawberry\nDisease: gray_mold'
47,squash_powdery_mildew,'\nClass: Squash\nDisease: powdery_mildew'
23,olive_bird_eye_fungus,'\nClass: Olive\nDisease: bird_eye_fungus'
55,tomato_bacterial_spot,'\nClass: Tomato\nDisease: bacterial_spot'
38,rice_downy_mildew,'\nClass: Rice\nDisease: downy_mildew'
15,corn_leaf_blight,'\nClass: Corn\nDisease: healthy'
54,strawberry_powdery_mildew,'\nClass: Strawberry\nDisease: powdery_mildew'
25,olive_rust_mite,'\nClass: Olive\nDisease: rust_mite'
64,tomato_yellow_leaf,'\nClass: Tomato\nDisease: mosaic_virus'
39,rice_healthy,'Class: Rice\nDisease: healthy'
19,grape_black_measles,'\nClass: Grape\nDisease: black_measles'
18,corn_phaeosphaeria_leaf_spot,'\nClass: Corn\nDisease: phaeosphaeria_leaf_spot'
2,apple_fels,'\nClass: Apple\nDisease: fels'
0,apple_black_rot,'\nClass: Apple\nDisease: black_rot'
42,rice_leaf_scald,'Class: Rice\nDisease: leaf_scald'
22,grape_leaf_blight,'\nClass: Grape\nDisease: leaf_blight'
2,apple_fels,'\nClass: Apple\nDisease: fels'
26,orange_huanglongbing,'\nClass: Orange\nDisease: huanglongbing'
46,soybean_healthy,'\nClass: Soybean\nDisease: healthy'
10,blueberry_healthy,'\nClass: Blueberry\nDisease: healthy'
53,strawberry_leaf_spot,'\nClass: Strawberry\nDisease: leaf_spot'
28,peach_healthy,'\nClass: Peach\nDisease: healthy'
4,apple_powdery_mildew,'\nClass: Apple\nDisease: powdery_mildew'
60,tomato_leaf_spot,'\nClass: Tomato\nDisease: leaf_spot'
14,corn_gray_leaf_spot,'\nClass: Corn\nDisease: gray_leaf_spot'
0,apple_black_rot,'\nClass: Apple\nDisease: black_rot'
54,strawberry_powdery_mildew,'\nClass: Strawberry\nDisease: powdery_mildew'
56,tomato_late_blight,'\nClass: Tomato\nDisease: early_blight'
28,peach_healthy,'Class: Peach\nDisease: healthy'
53,strawberry_leaf_spot,'\nClass: Strawberry\nDisease: leaf_spot'
22,grape_leaf_blight,'\nClass: Grape\nDisease: leaf_blight'
62,tomato_spider_mites,'\nClass: Tomato\nDisease: spider_mites'
15,corn_leaf_blight,'\nClass: Corn\nDisease: healthy'
7,bell pepper_bacterial_spot,'\nClass: Bell Pepper\nDisease: bacterial_spot'
3,apple_healthy,'\nClass: Apple\nDisease: healthy'
62,tomato_spider_mites,'\nClass: Tomato\nDisease: spider_mites'
44,rice_neck_blast,'Class: Rice\nDisease: neck_blast'
41,rice_leaf_blast,'\nClass: Rice\nDisease: brown_spot'
55,tomato_bacterial_spot,'\nClass: Tomato\nDisease: bacterial_spot'
25,olive_rust_mite,'\nClass: Olive\nDisease: rust_mite'
64,tomato_yellow_leaf,'\nClass: Tomato\nDisease: yellow_leaf'
14,corn_gray_leaf_spot,'Class: Corn\nDisease: gray_leaf_spot'
2,apple_fels,'\nClass: Apple\nDisease: fels'
36,rice_brown_spot,'\nClass: Rice\nDisease: brown_spot'
11,cherry_powdery_mildew,'\nClass: Cherry\nDisease: healthy'
33,rice_bacterial_leaf_blight,'Class: Rice\nDisease: bacterial_leaf_blight'
58,tomato_early_blight,'\nClass: Tomato\nDisease: late_blight'
51,strawberry_healthy,'\nClass: Strawberry\nDisease: healthy'
43,rice_nbls,'Class: Rice\nDisease: nbls'
7,bell pepper_bacterial_spot,'\nClass: Bell Pepper\nDisease: bacterial_spot'
24,olive_healthy,'\nClass: Olive\nDisease: healthy'
13,corn_common_rust,'\nClass: Corn\nDisease: common_rust'
12,cherry_healthy,'\nClass: Cherry\nDisease: powdery_mildew'
55,tomato_bacterial_spot,'\nClass: Tomato\nDisease: bacterial_spot'
36,rice_brown_spot,'\nClass: Rice\nDisease: brown_spot'
32,raspberry_healthy,'\nClass: Raspberry\nDisease: healthy'
21,grape_healthy,'Class: Grape\nDisease: healthy'
49,strawberry_blossom_blight,'\nClass: Strawberry\nDisease: blossom_blight'
13,corn_common_rust,'\nClass: Corn\nDisease: common_rust'
63,tomato_target_spot,'\nClass: Tomato\nDisease: target_spot'
13,corn_common_rust,'\nClass: Corn\nDisease: common_rust'
12,cherry_healthy,'\nClass: Cherry\nDisease: powdery_mildew'
54,strawberry_powdery_mildew,'Class: Strawberry\nDisease: powdery_mildew'
64,tomato_yellow_leaf,'\nClass: Tomato\nDisease: yellow_leaf'
22,grape_leaf_blight,'\nClass: Grape\nDisease: leaf_blight'
29,potato_late_blight,'\nClass: Potato\nDisease: early_blight'
28,peach_healthy,'\nClass: Peach\nDisease: healthy'
14,corn_gray_leaf_spot,'\nClass: Corn\nDisease: gray_leaf_spot'
61,tomato_mosaic_virus,'\nClass: Tomato\nDisease: mosaic_virus'
57,tomato_healthy,'\nClass: Tomato\nDisease: healthy'
60,tomato_leaf_spot,'\nClass: Tomato\nDisease: leaf_spot'
24,olive_healthy,'\nClass: Olive\nDisease: healthy'
29,potato_late_blight,'\nClass: Tomato\nDisease: leaf_spot'
38,rice_downy_mildew,'Class: Rice\nDisease: downy_mildew'
18,corn_phaeosphaeria_leaf_spot,'\nClass: Corn\nDisease: phaeosphaeria_leaf_spot'
59,tomato_leaf_mold,'\nClass: Tomato\nDisease: leaf_mold'
59,tomato_leaf_mold,'\nClass: Tomato\nDisease: leaf_mold'
